WormBaseID	SRR28479535	SRR28479537	SRR28479531	SRR28479538	SRR28479526	SRR28479528	SRR28479530	SRR28479534	SRR28479529	SRR28479539	SRR28479525	SRR28479532	SRR28479533	SRR28479536	SRR28479527	SRR28479540
WBGene00008762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00012178	0.0	0.0	0.0	0.0	12214.25294430242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00010944	0.0	0.0	21285.740125324624	22919.158193524596	0.0	0.0	0.0	0.0	0.0	0.0	11062.006565018019	0.0	0.0	0.0	0.0	0.0
WBGene00022891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00021034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00003633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5338.250665340041	0.0	0.0	0.0	4798.271273319429	0.0
WBGene00001487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7526.62567508428
WBGene00018476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00022040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00004264	0.0	0.0	0.0	2392.0325654376525	6160.6896934692	0.0	0.0	0.0	0.0	1962.9678795447508	2031.7438904579556	0.0	0.0	0.0	7345.18289409207	4917.373130874201
WBGene00022664	0.0	0.0	0.0	0.0	0.0	7402.237585750051	6893.788197226542	5347.324953719029	0.0	0.0	0.0	11021.981181843874	0.0	0.0	0.0	0.0
