Gene_ID	SRR28479526	SRR28479525
WBGeneC17C3	214.362	0.0
WBGeneC17D12	223.828	254.4707
WBGeneC17E4	1662.9027660000002	845.620814
WBGeneC17E7	0.0	0.0
WBGeneC17F3	0.0	0.0
WBGeneC17F4	0.0	0.0
WBGeneC17G1	562.4993999999999	124.9654
WBGeneC17G10	617.7742403	334.20309139999995
WBGeneC17H1	0.0	0.0
WBGeneC17H11	148.5403	108.721
WBGeneC17H12	894.1997200000001	657.79155
WBGeneC18A11	459.325	562.0399
WBGeneC18A3	232.689	603.5663000000001
WBGeneC18B10	0.0	0.0
WBGeneC18B12	196.3901	168.1501
WBGeneC18B2	51.5525	48.8673
WBGeneC18C4	266.687997581	55.366918487646004
WBGeneC18D1	151.665	168.7729
WBGeneC18D11	485.889	680.928
WBGeneC18D4	0.0	0.0
WBGeneC18E3	152.601	145.102
WBGeneC18E9	1120.8677	947.0656299999999
WBGeneC18F10	0.0	106.895
WBGeneC18F3	88.2864	27.8189
WBGeneC18G1	144.146	138.037
WBGeneC18H2	0.0	0.0
WBGeneC18H7	0.0	0.0
WBGeneC18H9	24.2233	31.081
WBGeneC23F12	176.22967630961	287.95302261
WBGeneC23G10	1272.9138092399999	2689.4065983
WBGeneC23H3	767.19690177	198.16258779
WBGeneC23H4	92.6516	107.492
WBGeneC23H5	127.794	0.0
WBGeneC24A1	97.5775	65.431
WBGeneC24A11	119.26368074	0.0
WBGeneC24A3	782.857	63.6998
WBGeneC24A8	768.3661	249.2814
WBGeneC24B5	156.6869	124.741
WBGeneC24B9	0.0	0.0
WBGeneC24D10	530.538	709.998
WBGeneC24F3	0.0	387.624
WBGeneC24G6	0.0	488.4065
WBGeneC24G7	0.0	0.0
WBGeneC24H10	223.1793	81.3332
WBGeneC24H11	60.9001	657.3637
WBGeneC24H12	788.5689	169.835599
WBGeneC25A1	1599.1446	1439.4594
WBGeneC25A11	175.480133	181.9822
WBGeneC25A6	0.0	0.0
WBGeneC25A8	0.0	0.0
WBGeneC25B8	549.872273	1422.0938241000001
WBGeneC25D7	91.974	87.0038
WBGeneC25E10	0.0	0.0
WBGeneC25F6	540.7215	424.8155
WBGeneC25F9	49.262	319.4258
WBGeneC25G4	0.0	63.381
WBGeneC25G6	0.0	111.741
WBGeneC25H3	380.391	603.6168
WBGeneC26B2	90.0851	457.0521
WBGeneC26B9	583.0344031999999	270.49699999999996
WBGeneC26C6	572.32943	599.93097
WBGeneC26D10	725.1345	432.252
WBGeneC26E1	0.0	0.0
WBGeneC26E6	67.711	477.1297
WBGeneC26F1	1445.7	727.121
WBGeneC26G2	99.6981	95.304758
WBGeneC26H9A	18.8694	0.0
WBGeneC27A12	136.43189999999998	341.07460000000003
WBGeneC27A2	2468.2581	2494.9545000000003
WBGeneC27A7	22.6327	0.0
WBGeneC27B7	384.77829	175.158
WBGeneC27C12	41.0814	0.0
WBGeneC27C7	0.0	0.0
WBGeneC27D11	112.533	79.7699
WBGeneC27D6	179.895	85.6745
WBGeneC27D8	0.0	0.0
WBGeneC27D9	0.0	54.9035
WBGeneC27F2	519.9714	280.9773
WBGeneC27H5	572.893	887.8199999999999
WBGeneC27H6	338.03659999999996	311.59700000000004
WBGeneC28A5	129.5940800104	372.16846403
WBGeneC28C12	289.7074	335.1087
WBGeneC28D4	86.4009	70.4859
WBGeneC28F5	0.0	0.0
WBGeneC28G1	142.5182	0.0
WBGeneC28H8	470.6823	1407.6679000000001
WBGeneC29A12	235.713000463748	95.8077
WBGeneC29E4	311.12959	66.555
WBGeneC29E6	52.1366	165.5673159
WBGeneC29F3	68.9798	142.164
WBGeneC29F4	442.025	0.0
WBGeneC29F5	97.9931	373.729
WBGeneC29F7	188.1	373.10321398120004
WBGeneC29F9	71.8896	68.3191
WBGeneC29G2	237.662	0.0
WBGeneC29H12	0.0	0.0
WBGeneC30A5	255.234	216.1735
WBGeneC30B5	540.194	135.873
WBGeneC30C11	175.5442	340.8304
WBGeneC30D11	101.721	0.0
WBGeneC30E1	0.0	0.0
WBGeneC30F12	78.715	116.4085
WBGeneC30F2	0.0	0.0
WBGeneC30F8	678.0708398792	190.8138506246
WBGeneC30G12	284.402	0.0
WBGeneC30G4	0.0	0.0
WBGeneC30G7	0.0	0.0
WBGeneC30H6	131.822	276.625
WBGeneC30H7	0.0	0.0
WBGeneC31A11	0.0	0.0
WBGeneC31B8	70.5666	0.0
WBGeneC31C9	197.8396	280.8195
WBGeneC31E10	404.6126	0.0
WBGeneC31G12	0.0	0.0
WBGeneC31H1	0.0	0.0
WBGeneC31H2	95.7561	0.0
WBGeneC31H5	0.0	3109.21
WBGeneC32A3	60.1439	0.0
WBGeneC32A9	0.0	0.0
WBGeneC32B5	129.23	225.772
WBGeneC32C4	0.0	0.0
WBGeneC32D5	1258.8038999999999	1896.6904
WBGeneC32E12	289.827	0.0
WBGeneC32E8	1649.6177	1343.1317999999999
WBGeneC32F10	360.0655	99.0937
WBGeneC32H11	0.0	0.0
WBGeneC33A11	42.7414	40.4705
WBGeneC33A12	1007.5	551.679
WBGeneC33B4	133.99	50.647372405
WBGeneC33C12	0.0	123.175
WBGeneC33D12	160.605	0.0
WBGeneC33D3	0.0	0.0
WBGeneC33D9	593.9262	603.7767
WBGeneC33E10	0.0	0.0
WBGeneC33F10	208.2151	366.8251
WBGeneC33G3	117.773445	29.815755
WBGeneC33G8	0.0	0.0
WBGeneC33H5	1185.9928	680.49600641009
WBGeneC34B2	1132.353	467.9447
WBGeneC34B4	104.4054	69.9173
WBGeneC34B7	35.8904	0.0
WBGeneC34C12	249.4156	283.30899999999997
WBGeneC34C6	0.0	73.7862
WBGeneC34D1	263.353	0.0
WBGeneC34D10	0.0	136.946
WBGeneC34D4	904.302771031	651.5040286999999
WBGeneC34E10	1351.537	1141.4637
WBGeneC34E11	216.83965369999999	304.343974
WBGeneC34E7	224.973	107.447
WBGeneC34F11	0.0	72.6726
WBGeneC34F6	0.0	37.773872013327
WBGeneC34G6	319.0631	448.5164
WBGeneC34H3	0.0	40.6032
WBGeneC34H4	148.053	425.633
WBGeneC35A11	0.0	0.0
WBGeneC35A5	286.21279999999996	253.9518
WBGeneC35B1	384.381	0.0
WBGeneC35B8	195.3535	54.2111
WBGeneC35C5	288.9423	482.58113000000003
WBGeneC35D10	1037.694	1539.65838
WBGeneC35D6	0.0	0.0
WBGeneC35E7	156.7493	536.5809
WBGeneC36A4	45.79356	163.58245
WBGeneC36B1	550.2391	794.061501794
WBGeneC36B7	152.854	34.73
WBGeneC36C5	0.0	0.0
WBGeneC36C9	0.0	0.0
WBGeneC36E6	1588.3915	2328.635
WBGeneC36E8	484.45799999999997	524.934
WBGeneC36F7	0.0	56.2576
WBGeneC36H8	0.0	0.0
WBGeneC37A2	2359.2207732801	1748.3452
