target_id,WBGene_ID,tpm
B0336.10.2,WBGene00004435,4011.38
B0336.11a.1,WBGene00015148,0.0
B0336.11b.1,WBGene00015148,0.0
B0336.12.1,WBGene00015149,0.0
B0336.13.1,WBGene00015150,0.0
B0336.1a.1,WBGene00006943,0.0
B0336.1b.1,WBGene00006943,0.0
B0336.2.1,WBGene00000182,0.0
B0336.2.2,WBGene00000182,194.05
B0336.3a.1,WBGene00015143,0.0
B0336.3b.1,WBGene00015143,0.0
B0336.3c.1,WBGene00015143,0.0
B0336.3d.1,WBGene00015143,118.136
B0336.4a.1,WBGene00004348,0.0
B0336.4b.1,WBGene00004348,0.0
B0336.5a.1,WBGene00015145,0.0
B0336.5b.1,WBGene00015145,0.0
B0336.6.1,WBGene00015146,0.0
B0336.6.2,WBGene00015146,0.0
B0336.7a.1,WBGene00015147,0.0
B0336.7b.1,WBGene00015147,0.0
B0336.8.1,WBGene00002982,0.0
B0336.9a.1,WBGene00006359,0.0
B0336.9b.1,WBGene00006359,0.0
B0336.9b.2,WBGene00006359,0.0
B0336.9b.3,WBGene00006359,0.0
B0336.9b.4,WBGene00006359,0.0
B0336.9b.5,WBGene00006359,0.0
B0336.9b.6,WBGene00006359,0.0
B0336.9c.1,WBGene00006359,0.0
B0336.9c.2,WBGene00006359,0.0
B0336.9d.1,WBGene00006359,0.0
B0336.9e.1,WBGene00006359,0.0
B0336.9e.2,WBGene00006359,0.0
B0336.9e.3,WBGene00006359,0.0
B0344.2.1,WBGene00006955,0.0
B0348.1.1,WBGene00015151,0.0
B0348.10.1,WBGene00255704,0.0
B0348.2a.1,WBGene00015152,0.0
B0348.2b.1,WBGene00015152,0.0
B0348.4a.1,WBGene00001177,0.0
B0348.4b.1,WBGene00001177,0.0
B0348.4c.1,WBGene00001177,11.5875
B0348.4d.1,WBGene00001177,0.0
B0348.4e.1,WBGene00001177,0.0
B0348.4f.1,WBGene00001177,0.0
B0348.4g.1,WBGene00001177,0.0
B0348.4h.1,WBGene00001177,0.0
B0348.4i.1,WBGene00001177,0.0
B0348.4j.1,WBGene00001177,0.0
B0348.4k.1,WBGene00001177,0.0
B0348.4l.1,WBGene00001177,0.90346
B0348.4m.1,WBGene00001177,88.7787
B0348.4n.1,WBGene00001177,0.0
B0348.4o.1,WBGene00001177,0.0
B0348.4p.1,WBGene00001177,0.0
B0348.4q.1,WBGene00001177,0.0
B0348.4r.1,WBGene00001177,0.0
B0348.4s.1,WBGene00001177,0.0
B0348.4t.1,WBGene00001177,0.0
B0348.4u.1,WBGene00001177,0.0
B0348.4v.1,WBGene00001177,0.0
B0348.4w.1,WBGene00001177,0.0
B0348.4x.1,WBGene00001177,0.0
B0348.4y.1,WBGene00001177,0.0
B0348.5a.1,WBGene00015153,0.0
B0348.5b.1,WBGene00015153,0.0
B0348.6a.1,WBGene00002061,0.0
B0348.6b.1,WBGene00002061,0.0
B0348.6c.1,WBGene00002061,0.0
B0350.2a.1,WBGene00006780,0.0
B0350.2b.1,WBGene00006780,0.00024557
B0350.2c.1,WBGene00006780,0.00823336
